iter	Passed	Remaining
0	21	21143
1	32	15981
2	42	14209
3	68	17104
4	90	18099
5	99	16562
6	124	17675
7	148	18429
8	172	19023
9	181	17973
10	240	21603
11	274	22591
12	299	22743
13	324	22841
14	346	22759
15	355	21862
16	385	22303
17	408	22309
18	432	22328
19	461	22616
20	488	22770
21	517	23016
22	545	23175
23	580	23625
24	607	23686
25	644	24147
26	678	24458
27	818	28406
28	844	28280
29	877	28385
30	913	28544
31	942	28504
32	982	28793
33	1130	32130
34	1182	32601
35	1206	32310
36	1243	32356
37	1283	32484
38	1446	35638
39	1510	36249
40	1549	36244
41	1576	35954
42	1616	35966
43	1702	36982
44	1758	37327
45	1839	38145
46	1912	38771
47	2260	44828
48	2344	45502
49	2524	47961
50	2638	49087
51	2707	49357
52	2746	49077
53	2812	49270
54	2911	50028
55	2963	49963
56	2996	49579
57	3012	48932
58	3041	48516
59	3078	48231
60	3148	48459
61	3291	49798
62	3362	50016
63	3405	49810
64	3465	49844
65	3533	50010
66	3625	50480
67	3694	50630
68	3741	50480
69	3779	50216
70	3828	50094
71	3868	49860
72	3917	49751
73	4009	50176
74	4115	50753
75	4180	50826
76	4210	50471
77	4239	50112
78	4275	49842
79	4315	49622
80	4350	49363
81	4383	49078
82	4473	49423
83	4547	49585
84	4627	49816
85	4737	50351
86	4756	49917
87	4869	50468
88	4930	50471
89	5000	50562
90	5086	50809
91	5102	50362
92	5142	50153
93	5184	49966
94	5221	49742
95	5266	49590
96	5296	49308
97	5460	50258
98	5496	50026
99	5532	49793
100	5566	49551
101	5618	49465
102	5636	49085
103	5669	48848
104	5730	48844
105	5786	48802
106	5833	48688
107	5887	48626
108	5934	48511
109	5991	48479
110	6033	48318
111	6068	48113
112	6117	48019
113	6152	47816
114	6180	47566
115	6221	47409
116	6258	47233
117	6300	47092
118	6331	46875
119	6369	46707
120	6412	46583
121	6448	46411
122	6481	46210
123	6515	46030
124	6557	45905
125	6594	45740
126	6625	45544
127	6662	45390
128	6706	45279
129	6744	45138
130	6790	45043
131	6841	44991
132	6884	44879
133	6921	44733
134	6966	44637
135	7007	44517
136	7063	44495
137	7100	44354
138	7142	44242
139	7174	44072
140	7214	43952
141	7264	43894
142	7351	44054
143	7434	44195
144	7544	44483
145	7578	44330
146	7595	44074
147	7661	44104
148	7723	44112
149	7813	44278
150	7927	44573
151	7991	44583
152	8026	44435
153	8059	44277
154	8109	44212
155	8154	44117
156	8212	44095
157	8243	43928
158	8368	44264
159	8470	44471
160	8567	44645
161	8650	44749
162	8748	44922
163	8827	44996
164	8977	45433
165	9046	45448
166	9082	45304
167	9170	45413
168	9255	45510
169	9372	45760
170	9465	45888
171	9534	45900
172	9630	46037
173	9674	45927
174	9717	45810
175	10107	47321
176	10384	48286
177	10490	48444
178	10583	48542
179	10738	48920
180	10849	49093
181	10918	49075
182	11023	49215
183	11085	49163
184	11167	49198
185	11229	49143
186	11304	49147
187	11370	49110
188	11468	49210
189	11562	49294
190	11660	49391
191	11773	49545
192	11903	49773
193	12002	49865
194	12094	49930
195	12149	49837
196	12191	49695
197	12284	49757
198	12353	49726
199	12466	49865
200	12547	49879
201	12603	49788
202	12662	49714
203	12751	49756
204	12834	49774
205	12891	49690
206	12948	49604
207	12984	49440
208	13047	49379
209	13084	49224
210	13138	49128
211	13241	49217
212	13297	49133
213	13395	49199
214	13514	49345
215	13958	50664
216	14047	50686
217	14145	50741
218	14225	50729
219	14291	50669
220	14342	50554
221	14459	50672
222	14529	50624
223	14594	50558
224	14693	50612
225	14793	50663
226	14873	50648
227	14962	50663
228	15022	50578
229	15117	50609
230	15207	50624
231	15267	50541
232	15302	50372
233	15340	50215
234	15375	50051
235	15418	49915
236	15450	49742
237	15485	49579
238	15527	49441
239	15562	49281
240	15600	49130
241	15637	48979
242	15682	48855
243	15740	48769
244	15807	48712
245	15861	48615
246	15909	48502
247	15944	48348
248	16004	48270
249	16031	48095
250	16075	47970
251	16118	47844
252	16149	47681
253	16248	47721
254	16341	47743
255	16411	47696
256	16489	47671
257	16573	47666
258	16657	47656
259	16733	47624
260	16824	47635
261	16905	47618
262	17040	47751
263	17152	47818
264	17242	47822
265	17398	48008
266	17443	47887
267	17469	47716
268	17501	47560
269	17545	47438
270	17587	47310
271	17625	47174
272	17842	47515
273	17868	47345
274	17914	47229
275	17969	47136
276	18004	46992
277	18097	47001
278	18188	47002
279	18276	46997
280	18349	46952
281	18383	46806
282	18451	46747
283	18551	46771
284	18595	46652
285	18637	46527
286	18678	46403
287	18718	46276
288	18771	46182
289	18821	46080
290	18947	46162
291	19055	46202
292	19167	46250
293	19225	46166
294	19272	46058
295	19372	46075
296	19441	46017
297	19536	46022
298	19621	46002
299	19673	45905
300	19789	45955
301	19863	45909
302	19891	45757
303	19967	45714
304	20001	45577
305	20048	45468
306	20076	45319
307	20114	45192
308	20146	45053
309	20191	44941
310	20234	44827
311	20279	44717
312	20311	44580
313	20356	44473
314	20397	44357
315	20483	44337
316	20578	44336
317	20610	44202
318	20662	44110
319	20705	43998
320	20741	43874
321	20786	43768
322	20829	43658
323	20913	43634
324	21018	43654
325	21056	43534
326	21090	43405
327	21139	43311
328	21180	43197
329	21226	43096
330	21276	43002
331	21546	43353
332	21637	43339
333	21667	43205
334	21703	43083
335	21743	42968
336	21883	43053
337	22038	43164
338	22132	43155
339	22212	43119
340	22272	43043
341	22351	43003
342	22450	43002
343	22563	43027
344	22651	43004
345	22735	42973
346	22818	42941
347	22931	42964
348	23033	42964
349	23124	42944
350	23212	42920
351	23275	42847
352	23338	42776
353	23440	42775
354	23504	42704
355	23542	42588
356	23578	42467
357	23610	42340
358	23644	42217
359	23679	42096
360	23725	41996
361	23815	41973
362	23928	41989
363	24045	42014
364	24096	41920
365	24144	41823
366	24177	41701
367	24228	41608
368	24310	41571
369	24397	41541
370	24476	41498
371	24573	41483
372	24778	41652
373	25291	42333
374	25663	42772
375	25722	42688
376	25801	42637
377	25847	42532
378	25930	42488
379	25994	42411
380	26044	42313
381	26088	42206
382	26136	42104
383	26208	42043
384	26259	41946
385	26392	41982
386	26459	41911
387	26513	41820
388	26553	41707
389	26592	41593
390	26654	41515
391	26693	41401
392	26737	41297
393	26805	41228
394	26845	41118
395	26887	41010
396	26931	40906
397	26976	40802
398	27015	40691
399	27071	40607
400	27124	40517
401	27199	40460
402	27240	40353
403	27304	40281
404	27385	40232
405	27422	40120
406	27480	40038
407	27530	39946
408	27567	39835
409	27646	39784
410	27696	39690
411	27769	39632
412	27808	39524
413	27843	39410
414	27881	39302
415	27922	39198
416	27966	39099
417	27996	38980
418	28075	38929
419	28119	38831
420	28168	38739
421	28224	38658
422	28286	38584
423	28339	38498
424	28419	38450
425	28487	38384
426	28529	38283
427	28569	38182
428	28645	38126
429	28689	38030
430	28739	37941
431	28791	37856
432	28840	37766
433	28913	37706
434	28947	37598
435	29027	37548
436	29060	37439
437	29113	37355
438	29165	37271
439	29203	37168
440	29254	37082
441	29303	36993
442	29348	36900
443	29395	36810
444	29450	36730
445	29530	36681
446	29693	36734
447	29767	36677
448	29797	36566
449	29852	36486
450	29937	36443
451	30019	36395
452	30077	36318
453	30115	36218
454	30157	36122
455	30197	36024
456	30229	35918
457	30262	35812
458	30304	35718
459	30345	35622
460	30383	35523
461	30422	35426
462	30464	35333
463	30514	35249
464	30571	35174
465	30609	35076
466	30662	34995
467	30706	34906
468	30733	34796
469	30782	34712
470	30835	34633
471	30883	34548
472	30930	34461
473	30970	34367
474	31046	34314
475	31116	34254
476	31159	34164
477	31196	34068
478	31240	33980
479	31289	33896
480	31339	33815
481	31388	33732
482	31437	33650
483	31478	33559
484	31524	33474
485	31568	33387
486	31625	33313
487	31664	33222
488	31714	33141
489	31761	33057
490	31815	32981
491	31894	32931
492	31946	32853
493	32074	32854
494	32135	32784
